Name,Data and time,Latitude,Longitude
image467,28-04-20 08:13,-48.977,-170.466
image468,28-04-20 08:13,-48.655,-169.145
image469,28-04-20 08:13,-48.293,-167.755
image470,28-04-20 08:14,-47.937,-166.472
image471,28-04-20 08:14,-47.566,-165.207
image472,28-04-20 08:14,-47.153,-163.878
image473,28-04-20 08:14,-46.751,-162.653
image474,28-04-20 08:15,-46.306,-161.368
image475,28-04-20 08:15,-45.875,-160.182
image476,28-04-20 08:15,-45.401,-158.94
image477,28-04-20 08:15,-44.942,-157.795
image478,28-04-20 08:16,-44.44,-156.595
image479,28-04-20 08:16,-43.956,-155.49
image480,28-04-20 08:16,-43.427,-154.333
image481,28-04-20 08:16,-42.919,-153.267
image482,28-04-20 08:17,-42.366,-152.151
image483,28-04-20 08:17,-41.836,-151.123
image484,28-04-20 08:17,-41.26,-150.047
image485,28-04-20 08:17,-40.71,-149.057
image486,28-04-20 08:18,-40.112,-148.02
image487,28-04-20 08:18,-39.543,-147.065
image488,28-04-20 08:18,-38.926,-146.065
image489,28-04-20 08:18,-38.338,-145.144
image490,28-04-20 08:19,-37.703,-144.179
image491,28-04-20 08:19,-37.099,-143.291
image492,28-04-20 08:19,-36.447,-142.36
image493,28-04-20 08:19,-35.829,-141.503
image494,28-04-20 08:20,-35.161,-140.604
image495,28-04-20 08:20,-34.443,-139.666
image496,28-04-20 08:20,-33.803,-138.853
image497,28-04-20 08:21,-33.157,-138.053
image498,28-04-20 08:21,-32.461,-137.213
image499,28-04-20 08:21,-31.803,-136.439
image500,28-04-20 08:21,-31.095,-135.626
image501,28-04-20 08:22,-30.426,-134.876
image502,28-04-20 08:22,-29.707,-134.088
image503,28-04-20 08:22,-29.028,-133.361
image504,28-04-20 08:22,-28.298,-132.596
image505,28-04-20 08:23,-27.61,-131.89
image506,28-04-20 08:23,-26.871,-131.147
image507,28-04-20 08:23,-26.174,-130.46
image508,28-04-20 08:23,-25.426,-129.737
image509,28-04-20 08:24,-24.721,-129.068
image510,28-04-20 08:24,-23.965,-128.363
image511,28-04-20 08:24,-23.253,-127.711
image512,28-04-20 08:24,-22.49,-127.024
image513,28-04-20 08:25,-21.772,-126.387
image514,28-04-20 08:25,-21.002,-125.715
image515,28-04-20 08:25,-20.278,-125.093
image516,28-04-20 08:25,-19.503,-124.435
image517,28-04-20 08:26,-18.773,-123.825
image518,28-04-20 08:26,-17.992,-123.181
image519,28-04-20 08:26,-17.257,-122.583
image520,28-04-20 08:26,-16.471,-121.951
image521,28-04-20 08:27,-15.732,-121.363
image522,28-04-20 08:27,-14.942,-120.742
image523,28-04-20 08:27,-14.199,-120.163
image524,28-04-20 08:28,-13.405,-119.551
image525,28-04-20 08:28,-12.659,-118.981
image526,28-04-20 08:28,-11.861,-118.377
image527,28-04-20 08:28,-11.112,-117.815
image528,28-04-20 08:29,-10.311,-117.219
image529,28-04-20 08:29,-9.559,-116.662
image530,28-04-20 08:29,-8.756,-116.072
image531,28-04-20 08:29,-8.002,-115.521
image532,28-04-20 08:30,-7.196,-114.936
image533,28-04-20 08:30,-6.44,-114.39
image534,28-04-20 08:30,-5.633,-113.809
image535,28-04-20 08:30,-4.876,-113.266
image536,28-04-20 08:31,-4.068,-112.689
image537,28-04-20 08:31,-3.259,-112.112
image538,28-04-20 08:31,-2.5,-111.573
image539,28-04-20 08:31,-1.69,-110.998
image540,28-04-20 08:32,-0.931,-110.46
image541,28-04-20 08:32,-0.121,-109.886
image542,28-04-20 08:32,0.639,-109.348
image543,28-04-20 08:32,1.449,-108.774
image544,28-04-20 08:33,2.208,-108.236
image545,28-04-20 08:33,3.018,-107.66
image546,28-04-20 08:33,3.777,-107.12
image547,28-04-20 08:33,4.586,-106.543
image548,28-04-20 08:34,5.343,-106
image549,28-04-20 08:34,6.151,-105.42
image550,28-04-20 08:34,6.908,-104.874
image551,28-04-20 08:35,7.714,-104.29
image552,28-04-20 08:35,8.469,-103.739
image553,28-04-20 08:35,9.273,-103.15
image554,28-04-20 08:35,10.026,-102.594
image555,28-04-20 08:36,10.827,-101.998
image556,28-04-20 08:36,11.578,-101.437
image557,28-04-20 08:36,12.377,-100.834
image558,28-04-20 08:36,13.124,-100.265
image559,28-04-20 08:37,13.92,-99.653
image560,28-04-20 08:37,14.664,-99.076
image561,28-04-20 08:37,15.407,-98.495
image562,28-04-20 08:37,16.197,-97.869
image563,28-04-20 08:38,16.935,-97.277
image564,28-04-20 08:38,17.721,-96.641
image565,28-04-20 08:38,18.455,-96.038
image566,28-04-20 08:38,19.235,-95.389
image567,28-04-20 08:39,19.965,-94.775
image568,28-04-20 08:39,20.739,-94.112
image569,28-04-20 08:39,21.463,-93.484
image570,28-04-20 08:39,22.232,-92.807
image571,28-04-20 08:40,22.95,-92.164
image572,28-04-20 08:40,23.712,-91.47
image573,28-04-20 08:40,24.47,-90.768
image574,28-04-20 08:40,25.177,-90.1
image575,28-04-20 08:41,25.928,-89.379
image576,28-04-20 08:41,26.627,-88.694
image577,28-04-20 08:41,27.369,-87.953
image578,28-04-20 08:41,28.06,-87.248
image579,28-04-20 08:42,28.793,-86.486
image580,28-04-20 08:42,29.475,-85.76
image581,28-04-20 08:42,30.198,-84.974
image582,28-04-20 08:43,30.87,-84.226
image583,28-04-20 08:43,31.581,-83.416
image584,28-04-20 08:43,32.243,-82.644
image585,28-04-20 08:43,32.942,-81.807
image586,28-04-20 08:44,33.592,-81.009
image587,28-04-20 08:44,34.278,-80.144
image588,28-04-20 08:44,34.915,-79.319
image589,28-04-20 08:44,35.587,-78.423
image590,28-04-20 08:45,36.21,-77.569
image591,28-04-20 08:45,36.867,-76.642
image592,28-04-20 08:45,37.475,-75.757
image593,28-04-20 08:45,38.115,-74.796
image594,28-04-20 08:46,38.707,-73.879
image595,28-04-20 08:46,39.329,-72.883
image596,28-04-20 08:46,39.941,-71.867
image597,28-04-20 08:46,40.506,-70.898
image598,28-04-20 08:47,41.098,-69.844
image599,28-04-20 08:47,41.643,-68.838
image600,28-04-20 08:47,42.213,-67.746
image601,28-04-20 08:47,42.737,-66.702
image602,28-04-20 08:48,43.283,-65.568
image603,28-04-20 08:48,43.817,-64.413
image604,28-04-20 08:48,44.306,-63.31
image605,28-04-20 08:48,44.814,-62.112
image606,28-04-20 08:49,45.277,-60.969
image607,28-04-20 08:49,45.757,-59.728
image608,28-04-20 08:49,46.193,-58.545
image609,28-04-20 08:50,46.642,-57.261
image610,28-04-20 08:50,47.076,-55.954
image611,28-04-20 08:50,47.493,-54.626
image612,28-04-20 08:50,47.893,-53.275
image613,28-04-20 08:51,48.252,-51.99
image614,28-04-20 08:51,48.617,-50.598
image615,28-04-20 08:51,48.942,-49.274
image616,28-04-20 08:51,49.27,-47.842
image617,28-04-20 08:52,49.56,-46.483
image618,28-04-20 08:52,49.85,-45.014
image619,28-04-20 08:52,50.103,-43.621
image620,28-04-20 08:52,50.353,-42.119
image621,28-04-20 08:53,50.581,-40.6
image622,28-04-20 08:53,50.775,-39.163
image623,28-04-20 08:53,50.961,-37.618
image624,28-04-20 08:53,51.115,-36.158
image625,28-04-20 08:54,51.257,-34.59
image626,28-04-20 08:54,51.376,-33.012
